Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144,620,508,153,76,25,1,51,108,123,103,7,154,6,4,0,,10,2,0.300444,0.165845,0.248956,0.66616,0.420827,0.653759,0.446343,1.07459,0.353315,3.94018,0.33183,-0.677536,-0.0704632,140.386,67.1109,193.141,-0.747999,4.27928,67.33059108257294,-2.6540489196777344,8.80165,1.850000023841858,,,,,,,1246.8,8.658333333,1246.8,8.658333333,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",152,658,597,186,110,37,7,32,110,103,50,4,104,7,5,0,,36,10,0.311575,0.0754556,0.15802,0.477506,0.367966,0.558628,0.391579,0.926594,0.247053,7.08888,0.330455,1.06394,1.90873,119.706,41.9529,151.271,2.97268,9.39396,42.73770999908447,16.44441843032837,8.37298,3.0999999046325684,,,,,,,1104,7.263157894,1104,7.263157894,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",153,661,538,151,86,27,2,37,105,103,115,6,114,4,5,0,,18,5,0.280377,0.173705,0.172058,1.00958,0.407388,0.541137,0.403943,0.948526,0.260761,4.74837,0.290867,-0.353733,0.512022,126.801,48.7466,165.6,0.158289,-2.23855,51.51912871003151,-9.508916854858398,6.5461,4.650000095367432,,,,,,,1122.3,7.335294117,1122.3,7.335294117,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",151,654,561,163,82,27,6,48,119,117,84,6,154,5,4,0,,24,6,0.290798,0.128605,0.236093,0.544723,0.385391,0.614613,0.417591,1,0.323815,6.50071,0.317904,0.0442637,1.27589,132.752,55.4946,172.158,1.32015,0,57.238762617111206,-16.346296310424805,6.4088,1.2699999809265137,,,,,,,1211.3,8.021854304,1211.3,8.021854304,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",150,647,568,159,94,32,6,27,105,94,69,3,139,6,5,0,,22,5,0.280997,0.106056,0.214108,0.49534,0.36242,0.503951,0.370236,0.86637,0.222954,6.65165,0.325379,0.822675,1.22815,106.504,30.0426,141.03,2.05083,-2.24221,33.34433579444885,4.691126346588135,6.17091,12.510000228881836,,,,,,,956,6.373333333,956,6.373333333,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Cal Raleigh","SEA",152,610,531,124,67,22,1,34,79,92,70,3,164,5,4,0,,9,2,0.233943,0.114918,0.268547,0.427927,0.326978,0.470566,0.342155,0.797545,0.236624,3.64836,0.267332,-0.811356,-0.0655527,86.4682,14.4088,126.773,-0.876908,10.1286,18.36728197336197,16.96962261199951,5.76359,18.729999542236328,,,,,,,789,5.190789473,789,5.190789473,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Julio Rodríguez","SEA",152,656,593,162,103,29,2,28,89,91,50,3,143,9,5,0,,28,7,0.273982,0.0755917,0.218383,0.346143,0.336835,0.471089,0.346367,0.807924,0.197107,5.58106,0.315727,0.309542,1.74352,95.3057,17.752,129.675,2.05306,2.34476,25.009158611297607,4.497534990310669,5.33088,9.489999771118164,,,,,,,883.5,5.8125,883.5,5.8125,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Ronald Acuña Jr.","ATL",145,627,536,156,97,26,2,31,95,93,79,4,124,7,4,0,,32,8,0.290707,0.126149,0.198319,0.636094,0.386395,0.517666,0.3868,0.90406,0.226958,5.48529,0.324843,0.800122,1.77841,111.606,37.5343,150.085,2.57853,-1.30218,39.791136264801025,-8.789214491844177,5.30512,5.260000228881836,,,,,,,1012.2,6.980689655,1012.2,6.980689655,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Alejandro Kirk","TOR",120,476,420,117,81,21,0,15,59,57,49,2,55,4,4,1,,2,0,0.278085,0.102146,0.114512,0.892017,0.354976,0.43431,0.343628,0.789287,0.156226,2.52679,0.288012,-0.799597,-0.724514,68.0987,11.8224,121.86,-1.52411,15.7412,10.747016549110413,24.14301872253418,5.24735,160.25,,,,,,,599.9,4.999166666,599.9,4.999166666,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Yordan Alvarez","HOU",124,536,458,138,78,26,1,32,85,91,67,4,89,8,4,0,,5,1,0.301804,0.124675,0.165398,0.753786,0.396443,0.576224,0.410713,0.972668,0.274421,3.76157,0.310863,-0.484966,-0.588669,105.792,42.4832,168.044,-1.07363,1.18985,41.89649212360382,-9.717558860778809,5.17963,33.38999938964844,,,,,,,928.4,7.487096774,928.4,7.487096774,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
