Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.8565,0,0,2.45399,33,33,0,0,,198,765.643,145.455,58.9664,53.9879,18.1375,42.4451,2.32716,7.76395,241.199,10.9636,1.92932,5.68263,0.824431,0.315029,0.0554372,0.25959157198667526,0.20331,0.948989,0.279145,0.7934,,,2.65037,6.11788,6.95601,6.860000133514404,,,,,,,1198.8,6.054545454545455,1088,5.494949494949495,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.587,0,0,2.66472,33,33,0,0,,198,773.319,153.304,64.0299,58.6238,18.3523,43.5422,2.35049,7.86393,233.417,10.6099,1.97919,5.36071,0.834196,0.301838,0.0563056,0.24553221091628075,0.212358,0.994171,0.287043,0.776009,,,2.76122,5.83615,6.34092,10.260000228881836,,,,,,,1156,5.838383838383838,1066,5.383838383838384,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.9609,0,0,2.69441,33,33,0,0,,198,797.903,153.989,64.7433,59.277,19.7143,50.4087,2.42521,8.29468,247.454,11.2479,2.2913,4.90896,0.896104,0.310131,0.0631764,0.24695414304733276,0.208319,1.03231,0.284462,0.789911,,,2.81942,5.67269,6.21977,11.890000343322754,,,,,,,1138.8000000000002,5.751515151515153,1050,5.303030303030303,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5679,0,0,2.97004,33,33,0,0,,198,805.688,169.345,71.3664,65.3409,15.6616,51.8638,2.44887,8.40736,201.603,9.16377,2.35745,3.88716,0.71189,0.250225,0.0643721,0.1858525425195694,0.227182,1.11722,0.290984,0.751909,,,3.04023,5.03747,5.50552,25.59000015258789,,,,,,,1053,5.318181818181818,1006,5.08080808080808,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",13.3425,0,0,3.13417,33,33,0,0,,198,810.431,177.183,75.3101,68.9517,17.1833,46.8876,2.46329,8.28272,197.602,8.9819,2.13125,4.21437,0.781061,0.243823,0.0578552,0.18596800044178963,0.234598,1.13167,0.296035,0.74375,,,3.10327,4.88995,5.04109,60.18000030517578,,,,,,,1026.9,5.1863636363636365,1000,5.05050505050505,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",13.1383,0,0,3.01367,33,33,0,0,,198,784.891,153.926,72.4148,66.3008,21.6803,54.1349,2.38566,8.30936,230.164,10.462,2.46068,4.25167,0.985466,0.293243,0.0689713,0.22427160292863846,0.213062,1.05081,0.281014,0.763307,,,3.17983,4.83464,5.38855,114.55000305175781,,,,,,,1068.1999999999998,5.394949494949494,978,4.9393939393939394,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chase Burns","CIN",13.0481,0,0,3.06856,33,33,0,0,,198,785.424,154.779,73.7336,67.5082,21.7763,55.5197,2.38728,8.35946,232.737,10.579,2.52362,4.19197,0.989831,0.29632,0.0706876,0.2256326749920845,0.21451,1.06211,0.284782,0.759488,,,3.18188,4.81921,5.15633,98.51000213623047,,,,,,,1065.6,5.381818181818181,978,4.9393939393939394,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Chris Sale","ATL",13.4438,0,0,3.01186,33,33,0,0,,198,802.941,156.951,72.3712,66.2609,21.7064,57.0818,2.44052,8.55657,233.783,10.6265,2.59463,4.09557,0.986653,0.291158,0.0710909,0.22006706148386002,0.212872,1.08097,0.280699,0.771393,,,3.19338,4.79888,5.38855,39.0099983215332,,,,,,,1056.3999999999999,5.335353535353534,974,4.91919191919192,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",13.731,0,0,3.0468,33,33,0,0,,198,824.053,155.004,73.2108,67.0296,21.635,70.6096,2.50469,9.17808,254.425,11.5648,3.20953,3.60327,0.983408,0.308749,0.0856858,0.22306283563375473,0.208264,1.13946,0.284851,0.780254,,,3.19457,4.78013,5.27215,46.279998779296875,,,,,,,1059.6,5.351515151515151,972,4.909090909090909,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",12.8498,0,0,3.21108,33,33,0,0,,198,788.799,161.445,77.1582,70.6437,18.1983,62.2402,2.39754,8.60909,214.208,9.73674,2.8291,3.44164,0.827197,0.271562,0.078905,0.19265741854906082,0.224869,1.12972,0.295023,0.73926,,,3.23973,4.59816,4.81229,26.81999969482422,,,,,,,1040.1999999999998,5.253535353535352,971,4.904040404040404,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
