rank,name,tier_num,tier_name,hand,team,mlbid
1,Garrett Crochet,1,STUD,LHP,BOS,676979
2,Paul Skenes,1,STUD,RHP,PIT,694973
3,Tarik Skubal,1,STUD,LHP,DET,669373
4,Bryan Woo,2,AGA 1,RHP,SEA,693433
5,Yoshinobu Yamamoto,2,AGA 1,RHP,LAD,808967
6,Max Fried,2,AGA 1,LHP,NYY,608331
7,Cristopher Sánchez,2,AGA 1,LHP,PHI,650911
8,Logan Gilbert,2,AGA 1,RHP,SEA,669302
9,Hunter Greene,2,AGA 1,RHP,CIN,668881
10,Hunter Brown,2,AGA 1,RHP,HOU,686613
11,Shohei Ohtani,2,AGA 1,RHP,LAD,660271
12,Logan Webb,3,AGA 2,RHP,SFG,657277
13,Joe Ryan,3,AGA 2,RHP,MIN,657746
14,Freddy Peralta,3,AGA 2,RHP,NYM,642547
15,Jacob deGrom,4,AGA Injury Risk,RHP,TEX,594798
16,Cole Ragans,4,AGA Injury Risk,LHP,KCR,666142
17,George Kirby,4,AGA Injury Risk,RHP,SEA,669923
18,Tyler Glasnow,4,AGA Injury Risk,RHP,LAD,607192
19,Chris Sale,4,AGA Injury Risk,LHP,ATL,519242
20,Kyle Bradish,5,AGA Holly,RHP,BAL,680694
21,Eury Perez,5,AGA Holly,RHP,MIA,516811
22,Nick Pivetta,5,AGA Holly,RHP,SDP,601713
23,Ryan Pepiot,5,AGA Holly,RHP,TBR,686752
24,Drew Rasmussen,5,AGA Holly,RHP,TBR,656876
25,Cam Schlittler,5,AGA Holly,RHP,NYY,693645
26,Sandy Alcantara,5,AGA Holly,RHP,MIA,645261
27,Framber Valdez,5,AGA Holly,LHP,DET,664285
28,Michael King,6,Cherry Bomb,RHP,SDP,650633
29,Dylan Cease,6,Cherry Bomb,RHP,TOR,656302
30,Jesús Luzardo,6,Cherry Bomb,LHP,PHI,666200
31,Kevin Gausman,7,Holly,RHP,TOR,592332
32,Trevor Rogers,7,Holly,LHP,BAL,669432
33,Tatsuya Imai,7,Holly,RHP,HOU,837227
34,Nolan McLean,7,Holly,RHP,NYM,690997
35,Bubba Chandler,7,Holly,RHP,PIT,696149
36,Trey Yesavage,7,Holly,RHP,TOR,702056
37,Cade Horton,7,Holly,RHP,CHC,690990
38,Robbie Ray,8,Cherry Bomb But Moreso,LHP,SFG,592662
39,Nathan Eovaldi,8,Cherry Bomb But Moreso,RHP,TEX,543135
40,Jacob Misiorowski,8,Cherry Bomb But Moreso,RHP,MIL,694819
41,Chase Burns,8,Cherry Bomb But Moreso,RHP,CIN,695505
42,Shane McClanahan,9,Cherry Bomb But Moreso,LHP,TBR,663556
43,Kris Bubic,9,Cherry Bomb But Moreso,RHP,KCR,663460
