Name,Value,Age,PA
"Franklin Arias",24.4167,20.3781,108
"Jesús Made",20.3338,18.9123,150
"Cooper Ingle",20.2685,24.1178,77
"Ethan Salas",19.2903,19.8466,111
"Eric Hartman",18.2802,19.8055,144
"Bryce Eldridge",17.8457,21.4603,137
"Edward Florentino",17.7463,19.4,73
"Taitn Gray",16.861,18.6384,125
"Jhonny Level",14.8802,19.0219,134
"Luis Peña",14.4681,19.3945,52
"Ramiro Dominguez",14.4235,19.0301,78
"A.J. Ewing",14.1312,21.6548,132
"Kayson Cunningham",13.9073,19.7808,118
"Pedro Ramírez",13.6143,22.0137,169
"George Lombard Jr.",13.6073,20.8438,90
"Henry Bolte",12.9822,22.674,177
"Eli Willits",12.9435,18.3233,154
"Robert Arias",12.9317,19.5616,127
"Rainiel Rodriguez",12.7303,19.2521,128
"Luis Lara",11.8304,22.2192,163
"Nathan Flewelling",11.7992,19.4,112
"Juan Mateo",11.7215,18.874,73
"Juneiker Caceres",11.6052,18.6411,112
"Ralphy Velazquez",11.4053,20.8575,142
"Cooper Flemming",11.3098,19.6685,128
"Colt Emerson",11.2211,20.7123,146
"Edwin Arroyo",11.0516,22.6164,187
"Devin Fitz-Gerald",11.0041,20.6356,140
"Sam Antonacci",10.6653,23.1644,67
"Alirio Ferrebus",10.6025,20.5644,121
"Leo De Vries",10.547,19.4849,146
"Xavier Neyens",10.5388,19.4356,112
"Yeremy Cabrera",10.5298,20.7616,142
"Ronny Cruz",10.2484,19.6164,141
"Yasser Mercedes",10.1031,21.3863,98
"Josiah Hartshorn",9.99686,19.1726,134
"Xavier Isaac",9.98654,22.3041,109
"Wyatt Sanford",9.44474,20.3644,141
"Max Clark",9.10094,21.2904,155
"Josue De Paula",9.06852,20.8685,142
"Felnin Celesten",8.73826,20.5562,131
"Edgleen Perez",8.59541,19.8658,106
"Roldy Brito",8.46487,18.9945,145
"Kahlil Watson",7.92588,22.9753,150
"Ben Ross",7.91635,24.8356,72
"Travis Bazzana",7.86775,23.6082,117
"Justin Gonzales",7.58814,19.263,134
"John Gil",7.56777,19.8959,145
"Caden Bodine",7.34569,22.3452,131
"Nelson Rada",7.04948,20.6164,148
"Esmerlyn Valdez",6.85846,22.1918,160
"Theo Gillen",6.84044,20.5644,99
"Mike Sirota",6.67745,22.8082,130
"Christian Moore",6.67162,23.4603,103
"Héctor Rodríguez",6.66166,22.0712,184
"Yolfran Castillo",6.57787,19.1562,142
"James Tibbs III",6.39166,23.5151,178
"Blaze Jordan",6.3581,23.2986,140
"Zack Gelof",6.31182,26.4685,54
"Jefferson Rojas",6.17964,20.9479,90
"Denzer Guzman",6.10346,22.1589,162
"Enddy Azocar",6.08279,19.1123,135
"Jesus Pinto",6.07439,19.0192,112
"Josh Adamczewski",5.81287,20.9068,107
"Jacob Gonzalez",5.73572,23.8548,172
"Luiyin Alastre",5.68868,20.5233,92
"Josh Hammond",5.68263,19.5397,136
"Yoeilin Cespedes",5.27836,20.5753,138
"Emil Morales",5.27466,19.537,151
"Cooper Pratt",5.21432,21.6329,143
"Ching-Hsien Ko",5.14668,19.6521,98
"Handelfry Encarnacion",5.11202,18.8274,147
"Víctor Mesa Jr.",5.07834,24.5781,72
"Rece Hinds",5.04946,25.5863,87
"Braden Montgomery",5.02864,22.9753,153
"Yophery Rodriguez",5.01495,20.3342,115
"José Mejia",4.96121,20.5178,123
"Luis Guanipa",4.93794,20.3068,136
"Kevin Alvarez",4.92498,18.2274,109
"Chase Harlan",4.8909,19.7425,126
"Luis Lameda",4.88412,20.2164,82
"DJ Layton",4.84926,19.7096,116
