Name,Value,Age,IP
"Yhoiker Fajardo",28.8314,19.5068,24
"Noah Schultz",28.808,22.6712,14
"Johnny King",26.0756,19.6959,17
"Boston Bateman",26.048,20.5425,22
"Junior Sanchez",25.6536,20.5534,23
"David Shields",25.6209,19.5726,26
"Robby Snelling",25.3341,22.2986,29
"Wei-En Lin",25.0366,20.4192,34
"Franklin Gómez",24.9496,20.7507,27
"Eduardo Rivera",23.5163,22.8164,18
"Kade Anderson",22.3069,21.7507,30
"Jacob Bresnahan",21.0925,20.7753,11
"Thomas White",20.2817,21.5178,20
"Cam Caminiti",19.813,19.6603,32
"Didier Fuentes",18.1346,20.8027,16
"Twine Palmer",17.4974,21.5973,22
"Ryan Sloan",17.2932,20.1836,22
"Braylon Doughty",16.3025,20.3288,18
"Miguel Sime",15.0046,18.9123,19
"Tanner Franklin",14.9846,21.8658,23
"William Kempner",14.7881,24.8027,17
"AJ Russell",14.1365,21.7699,12
"Seth Hernandez",13.8639,19.7726,28
"Clay Edmondson",13.7255,22.7863,14
"Luis Serna",13.2874,21.7123,27
"Anthony Eyanson",13.2395,21.4904,24
"Leonard Garcia",13.1446,22.6548,14
"Riley Quick",13.0393,21.937,16
"Nicolas Cruz",12.595,21.9534,11
"Jagger Beck",12.3664,19.3534,16
"Alimber Santa",12.0658,22.9288,16
"Kamden Edge",11.9318,21.5342,12
"Braian Salazar",11.9098,20.8164,18
"Franco Aleman",11.8234,25.7808,12
"Ricky Vanasco",11.7243,27.4849,15
"Welinton Herrera",11.5684,22.0082,16
"Christian Little",11.3016,22.7562,11
"Kendry Chourio",11.2936,18.5123,20
"Braeden Sloan",11.1542,22.7425,13
"Dilan Figueredo",11.1368,23.0274,17
"Dasan Hill",11.1239,20.2795,19
"Joseph Dzierwa",11.0022,21.9589,35
"Marco Barrios",10.893,19.8658,14
"Barrett Morgan",10.839,21.0685,13
"Karson Milbrandt",10.5875,21.9589,30
"Dylan Brown",10.559,21.7753,27
"Payton Tolle",10.5539,23.4301,15
"Cole Peschl",10.5163,23.3616,13
"Justin Lamkin",10.4336,21.8466,28
"Owen Wild",10.2983,23.6877,15
"Logan Henderson",10.293,24.0986,17
"Esteban Mejia",10.2771,19.0822,18
"Francis Texido",9.99285,21.0137,16
"Christian Zazueta",9.92292,21.4959,28
"Miqueas Mercedes",9.79995,19.7479,23
"Hagen Smith",9.76776,22.6329,26
"Ethan Bagwell",9.68051,20.1123,33
"Yaqui Rivera",9.62904,22.7178,24
"Sean Paul Linan",9.62644,21.411,23
"Josh Ekness",9.60073,24.1616,12
"Todd Kniebbe",9.47516,22.3342,14
"Matt Wilkinson",9.40545,23.3233,28
"Elier Morillo",9.26607,20.4986,18
"Alex Clemmey",9.1502,20.7178,23
"Micah Ashman",9.11226,23.6247,18
"Argenis Cayama",9.05754,19.5562,24
"Wellington Aracena",9.03903,21.274,18
"Talon Haley",8.97564,20.2027,16
"Ben Grable",8.94144,23.9288,11
"Kash Mayfield",8.9399,21.1562,24
"Jacob Kisting",8.92714,22.9945,13
"Jackson Humphries",8.77919,21.7123,23
"Augusto Mendieta",8.76663,21.6301,14
"JT Quinn",8.70339,21.9562,26
"Thomas Ireland",8.67688,23.7781,16
"Jamie Arnold",8.60633,22.0438,28
"Ben Jacobs",8.53764,21.8192,25
"Brandon Langley",8.4949,21.5233,16
"Pierce George",8.46836,22.8247,13
"Trey Gregory-Alford",8.4105,19.9233,29
"Eliazar Dishmey",8.38101,21.4466,22
"Wikelman González",8.34861,24.0356,14
"Landon Harmon",8.24885,19.5726,14
"Liam Doyle",8.21417,21.8411,21
"Chris Veach",8.19444,24.3753,12
"JR Ritchie",7.99522,22.7808,27
"Brady Smith",7.87899,21.189,19
"Spencer Arrighetti",7.85776,26.2082,14
"Najer Victor",7.8297,24.3562,14
"Keyner Martinez",7.75006,21.6384,20
"Brock Moore",7.73273,25.8904,13
"Ethan Dorchies",7.691,19.4548,28
"Jacob Kmatz",7.67087,23.5233,15
"Drew Sommers",7.66247,25.6466,16
"Joey Oakie",7.63919,19.9096,19
"Dylan Jordan",7.63324,20.474,28
"Nate Payne",7.58839,20.6301,28
"Jonah Tong",7.55677,22.8,36
"Michael Trausch",7.52124,22.1452,18
"Mathieu Curtis",7.44775,21.6164,14
"Nestor German",7.43632,24.1096,35
"James Ellwanger",7.43147,21.8932,11
"Jeter Martinez",7.31089,20.1342,19
"Tanner McDougal",7.28659,23.011,24
"Mavis Graves",7.26752,22.3781,21
"Mason Molina",7.18076,22.7479,28
"Kruz Schoolcraft",7.1749,18.9671,14
"Nicolas De La Cruz",7.17136,20.3808,13
"Julio Mendez",7.10633,21.2438,22
"José Fermin",7.04816,24.3562,11
"Dalvinson Reyes",7.01551,19.3781,13
"Colton Shaw",7.00636,22.7808,30
"Braydon Risley",6.93929,21.0192,22
"Harrison Bodendorf",6.92612,22.1315,22
"Sheng-En Lin",6.79811,20.5945,22
"Enderson Mercado",6.79591,19.0384,26
"Alexander Alberto",6.77121,24.4274,14
"Gage Jump",6.6846,22.9863,27
"Holden Wilkerson",6.66217,22.8329,23
"Brody Brecht",6.63996,23.526,18
"Danny Thompson",6.62275,23.6603,22
"Gunner Mayer",6.56562,25.6959,12
"Spencer Strider",6.54524,27.4438,12
"Leonel Sequera",6.50025,20.6658,31
"Keyner Benitez",6.4806,19.8712,19
"Reed Moring",6.46301,21.6959,16
"Mitch Bratt",6.41876,22.7616,29
"Reinold Navarro",6.26482,19.4575,17
"Hayden Juenger",6.25864,25.6603,14
"Jackson Nove",6.24542,23.6712,19
"Kolten Smith",6.21898,22.2658,17
"Juan De La Cruz",6.19971,21.0904,11
"Hunter Barco",6.19293,25.3096,13
"Seth Johnson",6.17633,27.5507,13
"Alex Barr",6.04277,19.4055,15
"Tyler Renz",5.99941,19.3644,26
"Cristofer Gomez",5.99116,22.9014,13
"Landen Maroudis",5.93873,21.3041,24
"Andry Lara",5.91853,23.2493,33
"Charlie Christensen",5.9094,22.4822,13
"Will Dion",5.88751,25.9726,20
"Tyler Switalski",5.87436,22.8027,26
"Fulton Lockhart",5.86529,22.2685,14
"Liomar Martinez",5.85069,20.7808,22
"Robert Cranz",5.84257,22.8603,16
"Saul García",5.83693,22.8219,12
"Ben Peoples",5.83559,24.9342,19
"Jonatan Bernal",5.80559,23.7726,17
"Chung-Hsiang Huang",5.7751,20.4438,20
"Jack Wenninger",5.75178,24.0658,28
"Jerming Rosario",5.75165,23.9151,16
"Jesus Tillero",5.71863,19.9288,30
"Gabriel Hughes",5.66252,24.6247,25
"Sebastian Gongora",5.65808,24.5973,27
"Wilmy Sanchez",5.63905,22.3041,13
"Andrew Healy",5.63542,22.7397,12
"Nolan Perry",5.63212,22.5945,26
"Max Rajcic",5.63023,24.6767,25
