team,player_name,section,fg_id,mlb_id
angels,Adam Frazier,Projected Bench,15223,624428
angels,Alek Manoah,Projected Starting Rotation,26410,666201
angels,Brent Suter,Projected Bullpen,13942,608718
angels,Bryce Teodosio,Projected Bench,29524,669326
angels,Chase Silseth,Projected Bullpen,30074,681217
angels,Christian Moore,Starting Lineup,34979,695681
angels,Drew Pomeranz,Projected Bullpen,11426,519141
angels,Grayson Rodriguez,Projected Starting Rotation,24492,680570
angels,Jo Adell,Starting Lineup,20220,666176
angels,Jordan Romano,Projected Bullpen,16122,605447
angels,Jorge Soler,Starting Lineup,14221,624585
angels,José Soriano,Projected Starting Rotation,22100,667755
angels,Josh Lowe,Starting Lineup,19953,666139
angels,Kirby Yates,Projected Bullpen,9073,489446
angels,Logan O'Hoppe,Starting Lineup,24729,681351
angels,Mike Trout,Starting Lineup,10155,545361
angels,Nolan Schanuel,Starting Lineup,33189,694384
angels,Oswald Peraza,Projected Bench,22823,672724
angels,Reid Detmers,Projected Starting Rotation,27468,672282
angels,Robert Stephenson,Projected Bullpen,13594,596112
angels,Ryan Zeferjahn,Projected Bullpen,25420,666171
angels,Sam Bachman,Projected Bullpen,29754,696147
angels,Travis d'Arnaud,Projected Bench,7739,518595
angels,Yoán Moncada,Starting Lineup,17232,660162
angels,Yusei Kikuchi,Projected Starting Rotation,20633,579328
angels,Zach Neto,Starting Lineup,31347,687263
astros,Bennett Sousa,Projected Bullpen,21345,656986
astros,Brice Matthews,Projected Bench,33280,694728
astros,Bryan Abreu,Projected Bullpen,16609,650556
astros,Bryan King,Projected Bullpen,25890,687911
astros,Cam Smith,Projected Bench,35108,701358
astros,Carlos Correa,Starting Lineup,14162,621043
astros,César Salazar,Projected Bench,21587,
astros,Christian Walker,Starting Lineup,13419,572233
astros,Cristian Javier,Projected Starting Rotation,17606,664299
astros,Enyel De Los Santos,Projected Bullpen,18403,660853
astros,Hunter Brown,Projected Starting Rotation,25880,686613
astros,Isaac Paredes,Starting Lineup,20036,670623
astros,Jake Meyers,Starting Lineup,20308,676694
astros,Jayden Murray,Projected Bullpen,26482,
astros,Joey Loperfido,Starting Lineup,29630,694388
astros,Jose Altuve,Starting Lineup,5417,514888
astros,Lance McCullers Jr.,Projected Starting Rotation,14120,621121
astros,Mike Burrows,Projected Starting Rotation,24728,681347
astros,Nick Allen,Projected Bench,22277,669397
astros,Roddery Muñoz,Projected Bullpen,25311,682610
astros,Ryan Weiss,Projected Starting Rotation,sa3007778,680802
astros,Steven Okert,Projected Bullpen,13580,595345
astros,Tatsuya Imai,Projected Starting Rotation,sa3062955,837227
astros,Yainer Diaz,Starting Lineup,23003,673237
astros,Yordan Alvarez,Starting Lineup,19556,670541
astros,Zach Cole,Starting Lineup,31583,805904
athletics,Aaron Civale,Projected Starting Rotation,19479,650644
athletics,Andy Ibáñez,Projected Bench,18819,628451
athletics,Austin Wynns,Projected Bench,15271,642851
athletics,Brent Rooker,Starting Lineup,19627,667670
athletics,Carlos Cortes,Projected Bench,21842,666126
athletics,Colby Thomas,Projected Bench,31855,687515
athletics,Denzel Clarke,Starting Lineup,29858,672016
athletics,Elvis Alvarado,Projected Bullpen,21662,665660
athletics,Hogan Harris,Projected Bullpen,21520,663687
athletics,Jacob Lopez,Projected Starting Rotation,25098,682052
athletics,Jacob Wilson,Starting Lineup,33266,805779
athletics,Jeff McNeil,Starting Lineup,15362,643446
athletics,Jeffrey Springs,Projected Starting Rotation,17677,605488
athletics,Justin Sterner,Projected Bullpen,27694,686993
athletics,Lawrence Butler,Starting Lineup,22542,671732
athletics,Luis Medina,Projected Bullpen,21649,665622
athletics,Luis Morales,Projected Starting Rotation,32227,806960
athletics,Luis Severino,Projected Starting Rotation,15890,622663
athletics,Mark Leiter Jr.,Projected Bullpen,15551,643410
athletics,Max Muncy,Starting Lineup,29779,691777
athletics,Michael Kelly,Projected Bullpen,12791,547184
athletics,Nick Kurtz,Starting Lineup,35110,701762
athletics,Scott Barlow,Projected Bullpen,14993,605130
athletics,Shea Langeliers,Starting Lineup,25816,669127
athletics,Tyler Ferguson,Projected Bullpen,19481,621053
athletics,Tyler Soderstrom,Starting Lineup,27467,691016
blue-jays,Addison Barger,Starting Lineup,24598,680718
blue-jays,Alejandro Kirk,Starting Lineup,22581,672386
blue-jays,Andrés Giménez,Starting Lineup,19950,665926
blue-jays,Braydon Fisher,Projected Bullpen,24609,680755
blue-jays,Brendon Little,Projected Bullpen,21574,663893
blue-jays,Cody Ponce,Projected Starting Rotation,17920,664074
blue-jays,Daulton Varsho,Starting Lineup,19918,662139
blue-jays,Davis Schneider,Projected Bench,23565,676914
blue-jays,Dylan Cease,Projected Starting Rotation,18525,656302
blue-jays,Eric Lauer,Projected Bullpen,19316,641778
blue-jays,Ernie Clement,Starting Lineup,20352,676391
blue-jays,George Springer,Starting Lineup,12856,543807
blue-jays,Jeff Hoffman,Projected Bullpen,17432,656546
blue-jays,Jesús Sánchez,Starting Lineup,19913,660821
blue-jays,José Berríos,Projected Starting Rotation,14168,621244
blue-jays,Kazuma Okamoto,Starting Lineup,sa3063134,672960
