"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Clement, Ernie","676391","63","12.5",34.9,"109.7","86.4","96.2","90.8","84.2","372","144",,"17",27,"0",0,0
"Lile, Daylen","695734","63","12.5",42.9,"107","88.4","98.3","90.5","85.6","354","172",,"25",40.3,"2",3.2,2.6
"Baldwin, Drake","686948","61","11.9",45.9,"110.2","89.4","101.1","97.3","81.6","410","176","394","26",42.6,"10",16.4,12.2
"Adell, Jo","666176","60","19.7",23.3,"113.2","90.9","101.4","92.2","89.9","445","176","428","28",46.7,"3",5,3.9
"Kwan, Steven","680757","60","14.8",31.7,"100.8","81.6","91.1","84","81.5","381","131","381","4",6.7,"1",1.7,1.3
"Freeman, Freddie","518692","60","15.8",40,"110.3","92.7","102.4","97","86.5","438","193","412","31",51.7,"10",16.7,13.3
"Bregman, Alex","608324","60","14.1",23.3,"108.3","90.7","99.9","94.5","88.8","399","147","388","28",46.7,"4",6.7,5.1
"Keaschall, Luke","807712","59","14.1",37.3,"105.4","84.9","96.4","89.8","82.4","382","161","367","15",25.4,"2",3.4,2.6
"Ramírez, José","608070","59","29.3",40.7,"110.8","90.2","100.2","94.7","85.7","403","224","392","24",40.7,"7",11.9,8.9
"Edwards, Xavier","669364","59","9.9",32.2,"103.9","89.8","97.8","92.7","88","377","147","377","25",42.4,"2",3.4,2.7
"Arraez, Luis","650333","59","14.6",30.5,"97.8","85.4","93.7","87.6","84.6","372","144",,"11",18.6,"0",0,0
"Hoerner, Nico","663538","58","16",32.8,"105.8","84.6","94.9","89.8","82.8","375","168","369","14",24.1,"0",0,0
"Lindor, Francisco","596019","58","14.3",29.3,"111.3","89.1","99.3","93.9","85.8","402","163","402","22",37.9,"5",8.6,6
"Burleson, Alec","676475","58","12.3",27.6,"111.6","92.8","101.9","96.2","90.4","432","155","431","30",51.7,"7",12.1,9.3
"Simpson, Chandler","802415","58","-1.5",31,"100.1","82.7","93.1","87.1","81.4","335","106",,"8",13.8,"0",0,0
"Wilson, Jacob","805779","57","3.6",26.3,"102.1","84.5","96.7","86","86.3","352","117",,"20",35.1,"0",0,0
"Albies, Ozzie","645277","57","14.2",33.3,"107.7","86","96.7","91.7","82.1","382","164","376","17",29.8,"2",3.5,2.6
"Bogaerts, Xander","593428","57","11.1",38.6,"110.4","89.5","100.6","94","86.3","399","159","391","23",40.4,"4",7,5.8
"Naylor, Josh","647304","56","12.8",33.9,"111.5","87.2","97.8","90.7","86.8","433","147","399","20",35.7,"4",7.1,5.4
"Garcia, Maikel","672580","56","11.6",37.5,"110.2","93.6","102.1","94.3","94.4","412","184","400","29",51.8,"7",12.5,9.3
"Bichette, Bo","666182","56","5.4",37.5,"108.9","90.4","100","92.9","88.1","389","142","344","22",39.3,"1",1.8,1.2
"Perdomo, Geraldo","672695","55","8.7",21.8,"106.3","86.7","97.4","90.3","84.1","398","121","398","16",29.1,"1",1.8,1.4
"Díaz, Yandy","650490","55","5.7",18.2,"112.8","91.9","103.6","94.1","91.2","391","140","368","27",49.1,"4",7.3,5.5
"Acuña Jr., Ronald","660670","55","15",38.2,"112.3","88","101.3","96.8","80.4","411","169","411","24",43.6,"9",16.4,11.1
"Turner, Trea","607208","55","14.9",25.5,"109.7","87.3","96.6","87.8","87.9","359","155","359","15",27.3,"1",1.8,1.3
"Merrill, Jackson","701538","54","13.8",25.9,"108.6","88.5","100.9","97.8","80.9","425","166","399","27",50,"7",13,9.9
"Nimmo, Brandon","607043","53","10",32.1,"106.4","89.4","99.6","94.2","86.5","410","153","404","21",39.6,"5",9.4,6.6
"Walker, Christian","572233","53","14.9",37.7,"112.2","90.5","101.8","94.7","85.9","422","166","393","26",49.1,"8",15.1,11.1
"McGonigle, Kevin","805808","53","19.5",37.7,"109.5","88.1","99","94.5","77.4","408","187","408","20",37.7,"5",9.4,6.9
"Harper, Bryce","547180","53","10.9",37.7,"112.5","88.9","100.3","94.5","81.6","425","187","422","21",39.6,"8",15.1,11.1
"Chapman, Matt","656305","53","4.5",18.9,"113","88.7","101.1","96.3","87.2","386","118","349","18",34,"2",3.8,2.8
"Lopez, Otto","672640","53","8.1",20.8,"112.8","93","102.9","95.3","91.2","392","162","385","29",54.7,"7",13.2,10
"Altuve, Jose","514888","52","5.9",32.7,"105.9","84.7","98","94","80.1","389","137","376","20",38.5,"4",7.7,5.1
"Marte, Ketel","606466","52","7.8",36.5,"116.9","92.4","103.8","95.2","90","443","155","411","25",48.1,"5",9.6,6.9
"Riley, Austin","663586","52","21.1",30.8,"109.7","89.1","100.5","93.5","88.3","372","157",,"21",40.4,"3",5.8,4
"Perez, Salvador","521692","52","21.5",28.8,"108.5","89.5","101.1","92.2","91.5","417","163","404","21",40.4,"6",11.5,8.8
"Wetherholt, JJ","802139","52","13.8",38.5,"107.9","89.8","99","94.6","85","425","170","396","21",40.4,"4",7.7,5.2
"Guerrero Jr., Vladimir","665489","52","2.3",32.7,"115.7","92.7","104.2","96.5","90.5","437","137","437","25",48.1,"8",15.4,11.4
"Ward, Taylor","621493","52","18.5",42.3,"106.7","87.8","97.5","91","84.8","372","178",,"16",30.8,"0",0,0
"Alvarez, Yordan","670541","52","24.6",42.3,"114.2","93","104.6","94.6","91.3","416","234","392","24",46.2,"10",19.2,12.5
"Schanuel, Nolan","694384","52","9.1",32.7,"105.7","87.4","97.4","90","85.5","383","148","361","18",34.6,"1",1.9,1.4
"Bellinger, Cody","641355","51","22.2",29.4,"105.5","87","98.1","90.9","86.3","399","180","394","20",39.2,"4",7.8,5.7
