"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","xera","fb_velocity","fb_spin","curve_spin"
"Vodnik, Victor","680767","2026",36,23,45,62,26,64,74,46,54,44,18,51,34,42,,36,98,52,
"Vest, Will","676684","2026",72,68,74,72,69,64,60,85,42,83,85,44,95,81,,72,58,34,
"Pagán, Emilio","641941","2026",27,60,27,15,27,20,8,8,58,7,52,16,70,35,,27,48,98,
"Harrison, Kyle","690986","2026",60,44,58,66,53,44,69,44,15,78,63,75,41,81,,60,54,72,
"Strahm, Matt","621381","2026",77,84,87,79,67,64,67,44,75,61,41,44,42,58,,77,6,97,
"France, J.P.","641585","2026",2,2,4,9,1,44,16,24,40,23,7,10,3,3,,2,,,
"Taillon, Jameson","592791","2026",42,59,24,15,65,4,20,60,14,70,59,61,70,53,,42,9,69,
"Urquidy, José","664353","2026",52,26,45,59,58,44,53,47,87,35,20,83,60,98,,52,21,50,
"Suárez, Albert","544150","2026",10,10,5,8,33,30,21,13,33,27,2,73,16,55,,10,36,62,
"deGrom, Jacob","594798","2026",83,86,52,27,94,12,13,5,47,27,94,77,84,60,,83,87,91,
"Detmers, Reid","672282","2026",84,75,80,78,82,20,56,58,17,56,76,78,74,94,,84,42,22,
"Morillo, Juan","666661","2026",76,88,74,55,76,64,74,93,37,88,44,30,71,52,,76,96,35,
"Hicks, Jordan","663855","2026",51,39,77,91,20,87,87,19,65,85,5,10,8,12,,51,95,1,
"Gausman, Kevin","592332","2026",86,78,72,62,92,20,50,89,20,69,94,82,82,94,,86,49,52,
"O'Brien, Riley","676617","2026",99,94,97,97,99,87,87,99,74,94,78,97,67,85,,99,91,33,
"Holmes, Clay","605280","2026",62,53,64,68,55,44,79,85,30,62,20,36,44,74,,62,34,21,
"McClanahan, Shane","663556","2026",37,69,55,45,26,20,25,38,59,22,48,8,45,18,,37,58,35,
"Warren, Will","701542","2026",59,37,56,68,55,44,79,33,34,28,63,69,35,29,,59,41,93,
"Brubaker, JT","664141","2026",13,18,36,49,5,64,76,84,44,68,20,5,56,54,,13,32,26,
"Garcia, Rico","670329","2026",100,99,100,99,98,87,87,83,86,98,88,47,90,5,,100,,,
"Lowder, Rhett","695076","2026",40,42,33,28,58,4,26,17,8,45,17,59,28,71,,40,20,48,
"Granillo, Andre","701552","2026",1,1,7,41,1,30,6,3,50,22,1,3,1,1,,1,,,
"Rocker, Kumar","677958","2026",48,35,41,47,58,44,58,64,60,62,27,74,34,40,,48,65,19,
"Díaz, Edwin","621242","2026",72,85,80,69,50,64,53,40,93,35,92,21,30,88,,72,71,67,
"Wilcox, Cole","677961","2026",4,5,3,5,10,30,5,2,65,2,60,65,84,47,,4,,,
"Peralta, Freddy","642547","2026",59,52,55,57,58,30,65,72,70,62,78,56,82,63,,59,34,80,11
"Mayza, Tim","641835","2026",90,92,91,80,85,64,72,44,88,35,79,60,75,66,,90,40,11,
"Hancock, Emerson","676106","2026",87,83,75,62,93,44,69,50,7,86,84,85,55,39,,87,53,92,
"Castillo, Luis","622491","2026",33,19,31,44,37,4,15,10,10,41,52,77,62,67,,33,61,37,
"Santana, Dennis","642701","2026",42,30,62,79,22,64,63,98,75,94,45,19,75,74,,42,36,84,
"Okert, Steven","595345","2026",76,98,52,13,92,44,33,94,56,98,56,24,73,48,,76,,,
"Senzatela, Antonio","622608","2026",98,97,98,94,98,87,87,63,11,46,93,72,44,77,,98,84,53,
"Ohtani, Shohei","660271","2026",87,84,89,85,80,64,84,87,19,66,23,61,34,50,,87,88,89,
"Burrows, Mike","681347","2026",42,35,35,35,57,12,58,66,15,62,25,74,53,86,,42,55,41,
"Pivetta, Nick","601713","2026",97,96,95,84,95,64,84,82,74,80,95,55,51,95,,97,46,67,77
"Keller, Mitch","656605","2026",48,32,59,74,36,44,83,88,62,58,16,47,17,44,,48,22,68,
"Hoffmann, Andrew","694851","2026",56,78,68,53,44,64,69,52,27,46,57,18,6,1,,56,48,46,
"Palencia, Daniel","694037","2026",,,,,,,,,51,,,,,,,,99,62,
"Allard, Kolby","663465","2026",14,7,10,19,18,12,10,36,24,33,36,75,10,83,,14,2,2,
"Herget, Jimmy","623474","2026",40,35,30,27,62,30,26,21,45,54,26,95,46,84,,40,,,
"Fried, Max","608331","2026",89,76,89,89,86,87,87,68,20,78,32,85,17,62,,89,39,14,85
"Bellozo, Valente","678368","2026",1,7,1,1,5,12,10,22,26,14,20,19,71,10,,1,2,9,
"Watson, Ryan","670245","2026",10,34,10,9,16,12,10,44,51,14,8,24,50,19,,10,34,45,
"Raley, Brooks","548384","2026",52,58,38,27,54,44,13,38,26,85,92,33,42,44,,52,,,
"Cruz, Fernando","518585","2026",66,99,91,61,37,64,38,72,67,99,88,1,99,12,,66,,,
"Meyer, Max","676974","2026",26,16,28,40,28,4,37,44,12,39,53,46,64,58,,26,52,90,
"Freeland, Kyle","607536","2026",52,42,63,72,41,64,86,50,27,43,34,81,55,87,,52,18,73,27
"Blubaugh, AJ","805123","2026",40,71,27,12,65,20,28,11,48,42,17,31,71,67,,40,71,43,
"Gray, Sonny","543243","2026",25,13,17,23,46,1,28,63,29,64,5,87,17,29,,25,16,86,61
"Smith, Cade","671922","2026",67,49,47,46,69,44,50,38,81,69,74,69,60,34,,67,77,51,
"Senga, Kodai","673540","2026",50,46,52,55,51,20,33,35,54,21,83,40,74,43,,50,65,66,
"Kilian, Caleb","668873","2026",59,81,71,59,41,64,45,43,82,14,95,17,94,20,,59,83,78,
"Bird, Jake","656234","2026",53,51,31,23,77,30,13,6,7,35,78,94,90,11,,53,,,
"Springs, Jeffrey","605488","2026",86,88,85,73,87,30,72,92,63,90,48,57,47,26,,86,9,31,
"Houser, Adrian","605288","2026",37,21,36,48,48,12,44,30,9,39,9,74,16,55,,37,60,29,
"Laweryson, Cody","689520","2026",63,78,89,90,37,87,87,43,68,35,84,66,11,11,,63,17,50,
"Leahy, Kyle","681517","2026",5,2,7,17,5,1,8,10,6,7,3,27,13,13,,5,34,28,
"Bigge, Hunter","685801","2026",22,71,25,11,13,44,16,85,84,71,1,2,82,17,,22,,,
"Lorenzen, Michael","547179","2026",16,5,18,35,20,12,54,30,5,7,11,84,38,50,,16,31,54,53
