Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",60,265,9,30,26,17,0.094339622,0.173584905,0.189873417,0.320652173,0.286919831,0.354716981,0.476793248,0.3609323697235748,0.3977094842481983,126.63312407177656,2.9551514154300094,11.24782743484678,14.172391891479492,3.557530812127251,"Bobby Witt Jr.",25764,677951
"Andy Pages","LAD",60,246,13,36,50,7,0.06504065,0.182926829,0.244444444,0.311764705,0.293333333,0.341463414,0.537777777,0.3791192658548433,0.35901263477356454,144.09827129966246,0.008990280330181122,12.643459492623524,6.292410433292389,2.7478318136484248,"Andy Pages",24816,681624
"Yordan Alvarez","HOU",60,262,20,39,39,1,0.148854961,0.183206106,0.333333334,0.3,0.300925925,0.416030534,0.634259259,0.44052474001261194,0.49527387884983504,184.0186034710142,-1.1613503964617848,24.703112381280935,-7.095876693725586,2.744162386566204,"Yordan Alvarez",19556,670541
"Ben Rice","NYY",54,229,17,44,44,2,0.126637554,0.227074235,0.352040817,0.333333333,0.306122448,0.397379912,0.658163265,0.445136584374348,0.408660451746197,187.6861408884191,-0.3376387879252434,23.255903596956234,-4.717549383640289,2.722014798852758,"Ben Rice",29576,700250
"James Wood","WSN",61,286,16,53,39,10,0.174825174,0.29020979,0.271551724,0.353383458,0.271551724,0.409090909,0.543103448,0.4093019453855398,0.4379281517413023,164.19458276720664,1.5960954958572984,22.97890382279827,-5.789034366607666,2.6989419206304692,"James Wood",29518,695578
"Elly De La Cruz","CIN",58,257,12,40,37,10,0.085603112,0.295719844,0.228448276,0.365517241,0.280172413,0.346303501,0.508620689,0.3725136643717725,0.36159706115722656,134.1618250215863,0.8789102006703615,11.104173893826648,6.917924880981445,2.689839481531843,"Elly De La Cruz",26668,682829
"Xavier Edwards","MIA",61,260,6,41,20,9,0.123076923,0.115384615,0.162995595,0.340314136,0.31277533,0.397683397,0.475770925,0.38588605139606685,0.3536134415563442,146.84990613145686,1.3705270802602172,15.55726031538174,1.4127081036567688,2.591536222876348,"Xavier Edwards",22266,669364
"Corbin Carroll","ARI",56,240,7,37,28,7,0.125,0.220833333,0.247572816,0.351351351,0.286407766,0.379166666,0.533980582,0.39348030140210394,0.3664004273993201,152.38984749608852,3.516996662132442,18.16096244124585,-0.5900776386260986,2.588028913615445,"Corbin Carroll",25878,682998
"Kevin McGonigle","DET",59,259,3,38,21,9,0.138996138,0.135135135,0.122171946,0.327868852,0.285067873,0.389961389,0.407239819,0.3609045863611818,0.36579132080078125,129.36160555424755,4.037090037949383,12.972331156222122,1.7505956441164017,2.4371363132365085,"Kevin McGonigle",33572,805808
"JJ Wetherholt","STL",57,261,9,39,25,7,0.111111111,0.172413793,0.154545455,0.267857142,0.245454545,0.356321839,0.4,0.3397691079548427,0.3597014015286813,118.90690195575738,2.2592641236260533,8.006528943574146,7.318276405334473,2.42578417190397,"JJ Wetherholt",34985,802139
