Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",8.3572,5.7077,12.842,2.96234,20.1481,20.1481,0,0,,119.355,484.396,97.5484,43.1082,39.2857,10.8746,31.9372,,4.9157,144.438,10.8914,2.40823,4.52257,0.82,0.298182,0.065932,0.23225024342536926,0.217964,1.08488,0.296594,0.755965,,,2.77133,3.42856,3.27066,9.649999618530273,,,,,,,667.5,5.609243697478991,629,5.285714285714286,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",8.768,5.8459,14.1644,2.9488,20.3457,20.3457,0,0,,127.698,519.731,113.328,46.8082,41.8395,10.3861,32.7358,,4.175,130.378,9.18886,2.30718,3.98272,0.732,0.250856,0.062986,0.1878698468208313,0.234721,1.14382,0.30095,0.754662,,,2.9634,3.32061,3.42153,24.75,,,,,,,679.4000000000001,5.307812500000001,659,5.1484375,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",7.8511,5.1613,11.9841,3.10294,18.36,18.36,0,0,,112.242,457.569,91.5295,42.2024,38.6977,11.1992,31.0447,,6.3364,137.335,11.0121,2.48929,4.42379,0.898,0.300141,0.067847,0.23229394108057022,0.21783,1.09206,0.295709,0.751874,,,2.92999,2.79722,2.79977,39.36000061035156,,,,,,,617.3000000000002,5.5116071428571445,580,5.178571428571429,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Tarik Skubal","DET",6.4242,4.2186,10.1653,2.77777,15.15,15.15,0,0,,90.9862,363.508,73.0776,30.9073,28.0821,8.74478,20.278,,3.3083,108.462,10.7286,2.00582,5.34874,0.865,0.298375,0.0557842,0.24259108677506447,0.214984,1.02604,0.288857,0.769894,,,2.72389,2.63533,2.6754,7.019999980926514,,,,,,,519.8999999999999,5.7131868131868115,485,5.329670329670329,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Jacob deGrom","TEX",6.9477,5.7248,10.3764,3.37973,18.36,18.36,0,0,,105.792,430.225,89.2845,42.7609,39.7277,13.7883,24.4536,,3.0615,124.843,10.6207,2.08032,5.10531,1.173,0.290181,0.0568391,0.23334209620952606,0.221709,1.07511,0.285886,0.751602,,,3.19533,2.59661,2.33203,50.0099983215332,,,,,,,549.8000000000001,5.186792452830189,517,4.877358490566038,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Zack Wheeler","PHI",7.4506,5.5985,11.4542,3.26754,18.54,18.54,0,0,,111.425,456.474,94.8577,44.0884,40.4541,12.5168,29.5421,,5.2645,123.707,9.99203,2.38616,4.18749,1.011,0.271006,0.064718,0.2062881886959076,0.224959,1.11644,0.288467,0.751443,,,3.2579,2.51636,2.58886,110.48999786376953,,,,,,,557.5000000000001,5.022522522522523,529,4.7657657657657655,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Dylan Cease","TOR",7.0273,5.5553,10.2038,3.34904,18.36,18.36,0,0,,104.35,436.975,83.889,42.231,38.8302,11.0147,41.0171,,3.5775,129.026,11.1283,3.53766,3.14567,0.95,0.295271,0.093866,0.20140532404184341,0.213795,1.197,0.288795,0.755123,,,3.26223,2.42844,2.23047,74.7699966430664,,,,,,,538.9,5.181730769230769,500,4.8076923076923075,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",7.8091,6.2925,11.582,3.42048,20.3457,20.3457,0,0,,118.308,490.906,102.015,48.9454,44.9635,13.8158,38.4016,,4.1339,130.81,9.95105,2.9213,3.40637,1.051,0.266467,0.078226,0.1882409155368805,0.227524,1.18687,0.290373,0.755495,,,3.46625,2.42512,2.50546,70.58999633789062,,,,,,,571.8,4.845762711864406,544,4.610169491525424,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Logan Webb","SFG",7.2644,6.5831,12.2351,3.37695,19.38,19.38,0,0,,119.521,501.555,115.889,49.9191,44.8461,9.17652,33.6443,,4.1188,108.11,8.14075,2.53345,3.21331,0.691,0.215549,0.06708,0.14846886694431305,0.249873,1.25111,0.307968,0.728781,,,3.21781,2.38944,2.25918,57.189998626708984,,,,,,,577.6999999999999,4.814166666666666,585,4.875,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Nathan Eovaldi","TEX",6.912,6.1496,11.0857,3.55222,18.36,18.36,0,0,,112.297,466.157,104.138,48.423,44.3228,12.4276,29.8788,,5.0508,110.082,8.82247,2.39462,3.68429,0.996,0.236148,0.064096,0.17205233126878738,0.241493,1.19342,0.297071,0.733967,,,3.49215,2.22995,2.17916,132.50999450683594,,,,,,,525.8000000000002,4.694642857142859,519,4.633928571428571,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
